,DNA damage checkpoint,DNA replication,condensed chromosome kinetochore,mitotic G2 DNA damage checkpoint,COPI vesicle coat,microtubule-based movement,Fanconi anaemia nuclear complex,MCM complex,centrosome cycle,cellular senescence,p53 binding,execution phase of apoptosis,DNA replication origin binding,SMC56 ,Condensin,Cohesin
71,,FAM111A,SPC24,,,DNAH6,,,,,,,,,,
72,,RPA2,TEX14,,,DNAH2,,,,,,,,,,
73,,RAD9A,SPC25,,,KIF17,,,,,,,,,,
74,,RBBP6,SS18L1,,,KIF25,,,,,,,,,,
75,,RHNO1,CENPS,,,KIF7,,,,,,,,,,
76,,ORC1,GPATCH11,,,KIF9,,,,,,,,,,
77,,NT5M,PHF6,,,DNAH3,,,,,,,,,,
78,,SIN3A,ZNF276,,,KIF2C,,,,,,,,,,
79,,RBBP8,DYNC1I1,,,CENPE,,,,,,,,,,
80,,RFC2,MEIKIN,,,STARD9,,,,,,,,,,
81,,POLL,RASSF2,,,,,,,,,,,,,
82,,KAT7,SPAG5,,,,,,,,,,,,,
83,,TOP1,MAD1L1,,,,,,,,,,,,,
84,,WRN,ZNF207,,,,,,,,,,,,,
85,,EXO1,CENPU,,,,,,,,,,,,,
86,,TIPIN,,,,,,,,,,,,,,
87,,RECQL5,,,,,,,,,,,,,,
88,,PTMS,,,,,,,,,,,,,,
89,,SLX4,,,,,,,,,,,,,,
90,,NFIA,,,,,,,,,,,,,,
91,,CDK1,,,,,,,,,,,,,,
92,,RMI2,,,,,,,,,,,,,,
93,,MCM10,,,,,,,,,,,,,,
94,,RPA1,,,,,,,,,,,,,,
95,,RRM2B,,,,,,,,,,,,,,
96,,PCLAF,,,,,,,,,,,,,,
97,,TREX1,,,,,,,,,,,,,,
98,,NASP,,,,,,,,,,,,,,
99,,CDK2,,,,,,,,,,,,,,
100,,MCM2,,,,,,,,,,,,,,
101,,MRE11,,,,,,,,,,,,,,
102,,SUPT16H,,,,,,,,,,,,,,
103,,MCM9,,,,,,,,,,,,,,
104,,POLA2,,,,,,,,,,,,,,
105,,MCM4,,,,,,,,,,,,,,
106,,MCM6,,,,,,,,,,,,,,
107,,PIF1,,,,,,,,,,,,,,
108,,RBMS1,,,,,,,,,,,,,,
109,,TIMELESS,,,,,,,,,,,,,,
110,,CDC7,,,,,,,,,,,,,,
111,,HELB,,,,,,,,,,,,,,
112,,SSRP1,,,,,,,,,,,,,,
113,,DBF4,,,,,,,,,,,,,,
114,,RFC5,,,,,,,,,,,,,,
115,,DNA2,,,,,,,,,,,,,,
116,,POLE2,,,,,,,,,,,,,,
117,,RBBP4,,,,,,,,,,,,,,
118,,DSCC1,,,,,,,,,,,,,,
119,,BRIP1,,,,,,,,,,,,,,
120,,SET,,,,,,,,,,,,,,
121,,MCM7,,,,,,,,,,,,,,
122,,DHX9,,,,,,,,,,,,,,
123,,RBBP7,,,,,,,,,,,,,,
124,,POLI,,,,,,,,,,,,,,
125,,NBN,,,,,,,,,,,,,,
126,,NFIB,,,,,,,,,,,,,,
127,,TICRR,,,,,,,,,,,,,,
128,,UPF1,,,,,,,,,,,,,,
